"","taxa","otu","otus","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","anterior limb of parapophysis 4","anterior nuchal plate","arch of atlas","basipterygium bone","centrum 1","distal cartilage of external anterior process of basipterygium","distal cartilage of internal anterior process of basipterygium","distal cartilage of posterior process of basipterygium","entopterygoid vertical strut","epibranchial 2 bone uncinate process","epibranchial 4 bone uncinate process","epioccipital posterior process","external anterior process of basipterygium","hypobranchial 1 bone distal cartilage","hypobranchial 2 bone distal cartilage","hypurapophysis","intercalarium","internal anterior process of basipterygium","lateral ethmoid palatine process","lateral ethmoid wing","lateral process of basipterygium","mesethmoid cornu","middle anterior process of basipterygium","middle nuchal plate","neural lamina","optic foramen","parapophysis","parapophysis 1","parapophysis 2","parapophysis 4","parapophysis 5","parapophysis 6","pelvic girdle bone/zone","posterior cleithral process","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior limb of parapophysis 4","posterior nuchal plate","posterior process of basipterygium","posttemporal fossa","preopercle horizontal limb","quadrate dorsal process","quadrate ventral process","scaphium","sphenotic spine","superficial ophthalmic nerve foramen","supraoccipital crest","transverse process of atlas","type 1 odontode","urohyal lateral process","urohyal median process","uroneural","Weberian complex centrum","zygapophysis"
"331","Clarias meladerma","VTO_0035520","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"332","Clarias ngamensis","VTO_0035530","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"333","Clarias nieuhofii","VTO_0035537","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"334","Clarias sp. (de Pinna 1993)","VTO_0059685","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"335","Clarias sp. (Fink and Fink 1981)","VTO_0059670","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1","1","1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1 and 0","1 and 0","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","0",NA,"0","1",NA,NA,NA,"1",NA,NA,NA,NA,"1 and 0","0"
"336","Clarias teijsmanni","VTO_0035513","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"337","Clarias theodorae","VTO_0035526","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"338","Clariidae","VTO_0035477","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"339","Claroteidae","VTO_0059211","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"340","Clarotes laticeps","VTO_0035134","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"341","Clupisoma garua","VTO_0036208","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1 and 0","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"342","Clupisoma prateri","VTO_0036209","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"343","Cnidoglanis macrocephalus","VTO_0036297","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"344","Cnidoglanis sp. (Mo 1991)","VTO_0060447","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"345","Cochlefelis danielsi","VTO_0035748","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"346","Cochlefelis insidiator","VTO_0059723","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"347","Cochlefelis spatula","VTO_0035747","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"348","Conta conta","VTO_0036113","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,"1","1 and 0",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","0 and 1","1",NA,"1","1","0",NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,"1","1","1","0",NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,"1",NA
"349","Copionodon orthiocarinatus","VTO_0061736","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"350","Copionodon pecten","VTO_0061737","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"351","Cordylancistrus torbesensis","VTO_0059794","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"1",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"352","Coreobagrus brevicorpus","VTO_0059437","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"353","Coreobagrus ichikawai","VTO_0059438","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"354","Corydoras acutus","VTO_0035264","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"355","Corydoras aeneus","VTO_0035385","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1",NA,NA,"1","1 and 0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0","1","1",NA,"1",NA
"356","Corydoras agassizii","VTO_0035266","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"357","Corydoras ambiacus","VTO_0035256","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"358","Corydoras arcuatus","VTO_0035257","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"359","Corydoras atropersonatus","VTO_0035259","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"360","Corydoras aurofrenatus","VTO_0035260","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"361","Corydoras axelrodi","VTO_0035261","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"362","Corydoras baderi","VTO_0061384","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"363","Corydoras barbatus sp. I (Britto 2003)","VTO_0061389","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"364","Corydoras barbatus sp. II (Britto 2003)","VTO_0061390","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"365","Corydoras bertoni","VTO_0061391","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"366","Corydoras bicolor","VTO_0035247","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"367","Corydoras bondi","VTO_0035251","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,"1","0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"368","Corydoras cochui","VTO_0061371","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"369","Corydoras difluviatilis","VTO_0035389","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"370","Corydoras ehrhardti","VTO_0035384","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"371","Corydoras elegans","VTO_0035330","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"372","Corydoras ellisae","VTO_0035331","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"373","Corydoras ephippifer","VTO_0035332","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"374","Corydoras eques","VTO_0035325","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"375","Corydoras flaveolus","VTO_0035381","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"376","Corydoras garbei","VTO_0035328","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"377","Corydoras gracilis","VTO_0035300","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"378","Corydoras guapore","VTO_0035302","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"379","Corydoras habrosus","VTO_0035313","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"380","Corydoras haraldschultzi","VTO_0035315","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"381","Corydoras hastatus","VTO_0035312","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"382","Corydoras julii","VTO_0035309","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1 and 0","0","0",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"383","Corydoras leucomelas","VTO_0035310","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"384","Corydoras loretoensis","VTO_0035289","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"385","Corydoras maculifer","VTO_0035287","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"386","Corydoras metae","VTO_0035386","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"387","Corydoras nanus","VTO_0035297","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"388","Corydoras napoensis","VTO_0035298","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"389","Corydoras nattereri","VTO_0035383","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"390","Corydoras n. sp. (Britto 2003)","VTO_0061406","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"391","Corydoras ornatus","VTO_0035292","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
